id,staff_id,ministry_id
1,4,11
2,20,4
3,26,11
4,27,7
5,28,11
6,30,11
7,34,5
8,35,5
9,45,9
10,54,4
11,62,5
12,66,5
13,68,4
14,69,5
15,72,11
16,73,11
17,76,9
18,77,7
19,79,4
20,80,4
21,84,2
22,86,1
23,87,1
42,89,2
24,89,5
25,95,11
26,97,9
27,98,4
28,102,11
29,105,4
30,106,9
31,108,4
32,109,11
33,110,11
34,111,4
35,112,5
36,113,11
37,114,9
38,116,11
39,117,4
40,118,5
41,119,11
